,name,category,1,2,3,4,5,6,7,time
72,catmacp,3,47.0,1.0,0.0,1.0,5.0,0.0,0.0,1.491
73,catmacp,3,47.0,1.0,0.0,1.0,5.0,0.0,0.0,1.491
74,catmacg,0,47.0,271.0,0.0,1.0,232.0,0.0,0.0,2.613
75,catmacg,0,47.0,271.0,0.0,1.0,232.0,0.0,0.0,2.613
76,bug_29430866_apply,1,58.0,2.0,0.0,1.0,5.0,0.0,0.0,0.394
77,bug_29430866_apply,1,58.0,2.0,0.0,1.0,5.0,0.0,0.0,0.394
78,dbmssodacoll,0,52.0,1.0,0.0,1.0,0.0,0.0,0.0,0.715
79,dbmssodacoll,0,52.0,1.0,0.0,1.0,0.0,0.0,0.0,0.715
80,nothing,0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.334
81,nothing,0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.334
82,bug_29784106_prepatch,0,119.0,0.0,0.0,3.0,3.0,0.0,1.0,5.94
83,bug_29784106_prepatch,0,119.0,0.0,0.0,3.0,3.0,0.0,1.0,5.94
84,bug_29202461_apply,0,58.0,0.0,0.0,1.0,1.0,0.0,0.0,0.556
85,bug_29202461_apply,0,58.0,0.0,0.0,1.0,1.0,0.0,0.0,0.556
86,bug_29784106_postpatch,0,121.0,0.0,0.0,3.0,2.0,0.0,0.0,0.351
87,bug_29784106_postpatch,0,121.0,0.0,0.0,3.0,2.0,0.0,0.0,0.351
88,depsaq,0,376.0,20.0,0.0,7.0,23.0,0.0,0.0,0.887
89,depsaq,0,376.0,20.0,0.0,7.0,23.0,0.0,0.0,0.887
90,catxdbtm,0,48.0,4.0,0.0,1.0,10.0,0.0,3.0,1.347
91,catxdbtm,0,48.0,4.0,0.0,1.0,10.0,0.0,3.0,1.347
92,catawrtb,3,48.0,21.0,0.0,1.0,43.0,0.0,14.0,5.314
93,catawrtb,3,48.0,21.0,0.0,1.0,43.0,0.0,14.0,5.314
94,dbmsai,0,46.0,1.0,0.0,1.0,0.0,0.0,2.0,0.363
95,dbmsai,0,46.0,1.0,0.0,1.0,0.0,0.0,2.0,0.363
96,bug_28935293_apply,0,58.0,6.0,0.0,1.0,9.0,0.0,0.0,0.379
97,bug_28935293_apply,0,58.0,6.0,0.0,1.0,9.0,0.0,0.0,0.379
98,bug_30264405_apply,0,58.0,0.0,0.0,1.0,3.0,0.0,0.0,0.657
99,bug_30264405_apply,0,58.0,0.0,0.0,1.0,3.0,0.0,0.0,0.657
100,30035598_apply,0,26727.0,0.0,0.0,0.0,40.0,27.0,0.0,0.49
101,30035598_apply,0,26727.0,0.0,0.0,0.0,40.0,27.0,0.0,0.49
102,bug_30305880_apply,0,58.0,0.0,0.0,1.0,3.0,0.0,0.0,0.364
103,bug_30305880_apply,0,58.0,0.0,0.0,1.0,3.0,0.0,0.0,0.364
104,bug29416700_apply,0,57.0,0.0,0.0,1.0,0.0,0.0,0.0,0.376
105,bug29416700_apply,0,57.0,0.0,0.0,1.0,0.0,0.0,0.0,0.376
106,bug28628592_apply,1,275.0,0.0,0.0,5.0,2.0,0.0,0.0,0.394
107,bug28628592_apply,1,275.0,0.0,0.0,5.0,2.0,0.0,0.0,0.394
108,catwrrvwp,0,49.0,30.0,0.0,1.0,54.0,0.0,109.0,1.01
109,catwrrvwp,0,49.0,30.0,0.0,1.0,54.0,0.0,109.0,1.01
110,dbmsrep,0,47.0,1.0,0.0,1.0,0.0,0.0,0.0,0.362
111,dbmsrep,0,47.0,1.0,0.0,1.0,0.0,0.0,0.0,0.362
112,dbmsappcont,0,51.0,6.0,0.0,1.0,1.0,0.0,1.0,0.409
113,dbmsappcont,0,51.0,6.0,0.0,1.0,1.0,0.0,1.0,0.409
114,dbmshadp1,0,49.0,3.0,0.0,1.0,0.0,0.0,0.0,0.962
115,dbmshadp1,0,49.0,3.0,0.0,1.0,0.0,0.0,0.0,0.962
116,catmetloadxsl,0,53.0,0.0,0.0,1.0,5.0,0.0,8.0,3.702
117,catmetloadxsl,0,53.0,0.0,0.0,1.0,5.0,0.0,8.0,3.702
118,bug_29738400_apply,0,58.0,0.0,0.0,1.0,6.0,0.0,0.0,0.505
119,bug_29738400_apply,0,58.0,0.0,0.0,1.0,6.0,0.0,0.0,0.505
120,dbmsjson,1,48.0,14.0,0.0,1.0,23.0,0.0,1.0,1.381
121,dbmsjson,1,48.0,14.0,0.0,1.0,23.0,0.0,1.0,1.381
122,catwrrvwc,1,49.0,8.0,0.0,1.0,20.0,0.0,26.0,0.616
123,catwrrvwc,1,49.0,8.0,0.0,1.0,20.0,0.0,26.0,0.616
124,bug_29644426_apply,0,58.0,0.0,2.0,1.0,1.0,0.0,0.0,0.364
125,bug_29644426_apply,0,58.0,0.0,2.0,1.0,1.0,0.0,0.0,0.364
126,bug_31001455_apply,0,58.0,0.0,0.0,1.0,3.0,0.0,0.0,0.351
127,bug_31001455_apply,0,58.0,0.0,0.0,1.0,3.0,0.0,0.0,0.351
128,after_apply_script_30657706,0,67.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
129,after_apply_script_30657706,0,67.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
130,dbmsgwmco,0,49.0,22.0,0.0,1.0,2.0,0.0,1.0,1.417
131,dbmsgwmco,0,49.0,22.0,0.0,1.0,2.0,0.0,1.0,1.417
132,dbmsgwmut,0,49.0,1.0,1.0,1.0,0.0,0.0,3.0,1.278
133,dbmsgwmut,0,49.0,1.0,1.0,1.0,0.0,0.0,3.0,1.278
134,dbmsgwmdb,0,49.0,0.0,0.0,1.0,0.0,0.0,1.0,0.814
135,dbmsgwmdb,0,49.0,0.0,0.0,1.0,0.0,0.0,1.0,0.814
136,dbmsgwmpl,0,49.0,0.0,0.0,1.0,0.0,0.0,2.0,2.278
137,dbmsgwmpl,0,49.0,0.0,0.0,1.0,0.0,0.0,2.0,2.278
138,dbmshadp,0,72.0,0.0,0.0,3.0,2.0,0.0,0.0,0.94
139,dbmshadp,0,72.0,0.0,0.0,3.0,2.0,0.0,0.0,0.94
