catolsrecomp,0.427
catols,3.221
catost,24.065
catparr,0.550
catpcatend,0.657
catpcatses,0.340
catpcat,1583.030
catpcatstr,0.367
catpcnfg,3.990
catpdbms,26.566
catpdeps,254.211
catpend,7.640
catpexec,130.304
catpexe,0.395
catpexev,0.663
catpgrants,0.461
catpitr,0.479
catplan,1.069
catplug,0.700
catpplb,2.323
catpprvt,36.380
catprc,5.631
catprocses,0.338
catproc,905.790
catprofa,3.913
catprofc,0.391
catprofp,0.395
catproftab,2.990
catproft,0.492
catprp,0.969
catpses,0.340
catpspec,97.846
catpspi,1.049
catpstdy,0.631
catpstr,1.898
catpstrt,21.731
catptabs,78.311
catptt,0.792
catptyps,11.507
catpvf,0.403
catqitab,0.402
catqm_adw,27.731
catqm_int,278.215
catqmlt,24.343
catqm,0.353
catqos,0.876
catqueue,4.435
catratmask,0.398
catredact,0.570
catrelod,0.348
catremvxutil,1.926
catremxutil,0.501
catreplt,0.386
catrept,1.272
catrepv,0.954
catrequired,0.472
catrequtlmg,0.341
catresults,1.044
catrls,2.714
catrmno,1.502
catrm,2.773
catrms,0.412
catrpc,0.531
catrsa,0.355
catrse,0.907
catrssch,2.507
catrule,2.182
catrupg,1.374
catsadv,2.480
catsch,1.401
catschv,14.719
catscqa,1.060
cdcore_misc,2.669
cdcore_objs,5.213
cdcore_pdbs,1.847
cdcore_privs,4.265
cdcore,30.652
cdcore_stat,0.354
cdcore_str,4.916
cdcore_tabs,5.019
cddm,1.704
cddst,4.850
cdend,0.524
cdenv_mig,0.371
cdenv,1.514
cdexttab,1.416
cdfixed,33.145
cdhcs,32.686
cdjava,0.342
cdmanage,0.558
cdobj,15.035
cdoptim,5.586
cdpart_mig,0.416
cdpart,5.538
cdplsql,6.536
cdrac,0.550
cdrep,0.335
cdsec,6.194
cdsqlddl,2.794
cdstrt,0.873
cdsummgt,0.449
cdtools,0.989
cdtxnspc,1.140
cmpdwgrd,0.624
cmpupend,0.391
cmpupgrd,0.383
cmpupjav,0.359
cmpupmsc,0.340
cmpupnjv,0.342
cmpupord,0.342
cmpupsdo,0.353
cmpupstr,0.340
compare_source,0.759
dbfs_create_filesystem_advanced,0.344
dbfs_create_filesystem,0.349
dbfs_drop_filesystem,0.354
dbfusrpi,0.483
dbfusrpt,0.684
dbmsaclsrv,0.425
dbmsaddm,0.387
dbmsadra,0.499
dbmsadro,0.993
dbmsadr,0.489
dbmsadv,0.366
dbmsai,0.636
dbmsalrt,0.560
dbmsamgt,0.439
dbmsany,0.658
dbmsapin,0.397
dbmsappcon,0.479
dbmsappcont,0.425
dbmsapp,0.365
dbmsapre,0.349
dbmsaqad,0.359
dbmsasrt,0.401
dbmsatsk,0.527
dbmsaudutl,0.377
dbmsautorep,0.361
dbmsawex,0.357
dbmsawi,0.343
dbmsawr,0.394
dbmsaw,1.095
dbmsawst,0.367
dbmsbctab,0.374
dbmsbdcluacc,0.432
dbmsbkrs,0.401
dbmsbsdesc,0.381
dbmsbsln,0.744
dbmscapi,0.400
dbmscap,0.358
dbmscbl,0.357
dbmscert,0.361
dbmschnf,0.368
dbms_cloud_capability,0.371
dbms_cloud_catalog,0.702
dbms_cloud_macadm,0.376
dbms_cloud_metadata,0.373
dbms_cloud,0.522
dbms_cloud_task_catalog,0.891
dbms_cloud_task_views,0.360
dbms_cloud_types,0.673
