,time,size,grants,revokes,subcalls,gvs,mds,loads
154,0.364,38034,1,0,1,12,169,0
155,0.442,23374,1,0,1,22,28,0
156,1.701,256356,1,0,1,119,359,0
157,0.744,80567,1,0,1,19,187,0
158,1.56,235293,2,0,1,20,157,2
159,0.84,1973257,205,0,2,835,683,170
160,30.562,6579,1,0,1,9,23,0
161,1.54,23,3,0,1,20,0,7
162,2.015,23,10,0,1,217,0,10
163,4.108,23,5,0,1,775,0,9
164,0.4,841,0,0,1,0,0,0
165,0.345,1717,0,0,1,1,0,0
166,0.433,128,1,0,3,0,0,0
167,0.342,19686,0,0,1,12,0,0
168,0.355,148971,0,0,1,0,0,1
169,0.37,22,0,0,1,172,0,8
170,0.355,23,1,0,1,0,0,0
171,0.465,3696,3,0,1,4,0,2
172,0.391,12581,0,0,1,1,0,1
173,0.364,22,0,0,1,0,0,0
174,0.372,27096,1,0,1,0,0,0
175,12.596,512375,43,1,1,486,14,1
176,0.548,18920,10,0,1,27,0,0
177,0.358,22,0,0,1,0,0,0
178,0.357,27,5,3,1,177,0,0
179,0.401,22,11,0,1,29,0,0
180,0.343,23,0,0,1,16,0,0
181,0.337,24,0,0,1,0,0,0
182,0.345,22,0,0,1,4,0,0
183,0.445,24,0,0,1,59,0,0
184,0.743,23,1,0,1,1,0,3
185,0.342,1758,0,0,1,1,0,0
186,0.349,25,0,0,1,3,0,0
187,0.355,25,0,0,1,26,0,0
188,0.349,25,0,0,1,1,0,0
189,0.374,26,2,0,1,18,0,0
190,0.361,5760,1,0,1,12,0,0
191,0.554,14502,8,0,1,0,0,0
192,0.353,7437,0,0,1,0,0,0
193,0.343,2946,0,0,1,1,0,0
194,0.561,5751,0,0,1,2,0,0
195,0.393,2353,0,0,1,1,0,0
196,0.365,2820,5,2,1,1,0,0
197,4.082,113078,41,0,1,105,0,0
198,3.568,99849,40,0,1,195,0,3
199,0.405,1413,0,0,1,1,0,1
200,0.4,22,1,1,1,15,0,0
201,5.201,142065,77,0,3,181,0,4
202,1.695,118369,15,0,2,102,0,0
203,1.08,30944,17,0,1,12,0,2
204,0.696,20182,14,0,1,38,0,0
205,0.643,10546,6,0,1,9,0,0
206,0.412,23,2,0,1,2,0,0
207,0.356,22,0,0,1,0,0,0
208,0.359,19295,1,0,1,12,0,2
209,0.346,22,0,0,1,0,0,4
210,0.36,22,1,0,1,0,0,0
211,0.358,1274,1,0,1,0,0,0
212,0.368,4875,2,0,1,0,0,0
213,0.378,1724,1,0,1,0,0,0
214,0.664,36178,6,0,1,76,0,0
215,0.476,21,6,0,1,478,0,178
216,0.349,22,0,0,1,0,0,1
217,0.361,22,0,0,1,82,2,1
218,0.375,22,0,0,1,64,0,3
219,0.445,28,1,0,1,161,0,0
220,0.37,26,0,0,1,485,0,27
221,0.384,21,1,0,1,4,0,0
222,0.684,22,6,0,1,320,0,0
223,0.371,22,0,0,1,129,0,0
224,0.355,22,1,0,1,107,0,17
225,0.35,22,1,0,1,7,0,16
226,0.354,21,0,0,1,14,0,13
227,0.365,22,1,0,1,111,0,18
228,0.344,22,0,0,1,0,0,0
229,4.756,71820,177,1,1,99,0,2
230,0.345,1450,0,0,1,1,0,0
231,0.418,6114,0,0,1,13,0,0
232,0.439,191624,8,0,1,194,568,0
233,3.149,86275,29,0,1,41,140,0
234,1.363,23,15,16,1,128,0,10
235,0.795,23,3,1,1,120,0,0
236,0.437,3173,0,0,1,3,0,0
237,3.245,158711,57,22,1,168,0,4
238,0.386,1179,0,0,1,0,0,0
239,0.62,11987,8,0,1,8,0,0
240,0.351,22,5,0,1,143,2,0
241,0.342,21,0,0,1,9,0,4
242,0.356,1430,0,1,1,2,0,0
243,0.425,132949,0,1,1,0,534,0
244,1.203,117534,4,1,1,0,676,0
245,0.405,21,0,0,1,1,0,1
246,0.508,73769,6,0,1,3,0,0
247,0.398,2683,1,0,1,0,0,0
248,6.378,174852,94,0,1,179,0,30
249,0.357,15873,1,0,1,0,0,0
250,0.373,323259,1,0,1,19,1414,0
251,0.352,1364,0,0,1,1,0,0
252,4.08,4155,1,0,1,4,0,1
253,0.362,2470,0,0,1,2,0,0
254,0.35,1670,0,0,1,0,0,0
255,0.351,27,0,0,1,28,0,0
256,0.548,2210,0,0,1,3,0,0
257,3.991,57108,33,0,1,79,0,0
258,0.368,22,0,0,1,102,0,0
259,0.379,22,298,140,1,333,0,3
260,0.379,23,948,503,1,1246,0,0
261,0.375,22,2,0,1,0,0,0
262,0.374,885,0,0,1,0,0,0
263,0.355,1323,0,0,1,1,0,0
264,0.35,22,0,0,1,8,0,1
265,0.378,15599,2,0,1,11,0,0
266,0.437,961,0,0,1,0,0,0
267,0.351,24,0,0,1,0,0,0
268,0.353,1200,0,1,1,0,0,0
269,0.359,2780,0,0,1,1,0,0
270,0.386,22,4,0,1,10,0,0
271,0.43,22,1,0,1,25,0,0
272,0.358,1306,0,0,1,1,0,0
273,0.35,1563,0,0,1,1,0,0
274,0.348,1362,1,0,1,0,0,0
275,0.342,8424,0,0,1,0,0,0
276,0.638,23,0,0,1,17,0,0
277,0.339,23,0,0,1,43,0,1
278,0.347,22,0,0,1,0,0,0
279,0.442,1953,0,0,1,2,0,0
280,0.798,47073,8,0,1,68,0,0
281,3.689,6867,0,0,1,4,0,1
282,0.438,2466,0,0,1,1,0,0
283,1.063,6041,2,0,1,3,8,0
284,0.346,22,0,0,1,51,0,7
285,0.34,1560,0,0,1,1,0,0
286,14.883,559319,328,0,1,380,0,0
287,0.364,5025,1,0,0,0,0,0
288,0.344,22,0,0,0,6,0,0
289,0.424,1951,0,0,1,1,0,0
290,0.356,1592,0,0,1,3,0,0
291,0.909,12875,0,3,1,9,0,0
292,0.362,2504,0,1,1,0,0,0
293,0.345,1516,0,0,1,1,0,0
294,0.813,83135,4,2,25,0,0,0
295,0.388,16680,8,0,1,0,0,0
296,0.375,82093,3,0,1,2,0,7
297,0.346,3681,0,0,1,0,0,0
298,0.353,3728,1,0,1,2,0,0
299,0.362,24637,1,0,1,0,0,0
300,0.353,4038,1,0,1,0,0,0
301,0.357,11265,1,0,1,0,0,0
302,0.356,24606,1,0,1,0,0,0
303,0.368,2941,2,0,1,0,0,0
304,0.676,32537,3,0,1,0,0,0
305,0.358,2223,1,0,1,0,0,0
306,0.377,8601,4,0,1,0,0,0
307,0.386,2703,2,0,1,0,0,0
308,0.392,17517,4,0,1,0,0,7
309,0.359,18846,1,0,1,0,0,0
310,0.341,22,0,0,1,0,0,0
311,0.354,23,1,0,1,7,0,0
312,0.338,22,0,0,1,0,0,0
