,model,train,test,cv,drop_outliers,fix_skewness,scale,use_pls
7,deg=5 eps=20,0.5703251357673154,0.4379215807748167,0.1920492450992476,True,True,False,False
,model,train,test,cv,drop_outliers,fix_skewness,scale,use_pls
0,linear regression,0.17518659057698405,0.17624067119047915,0.2242188383491519,True,True,False,False
1,deg=5 eps=1,0.43307004515677516,0.41778489403104013,0.40073491704180986,True,True,False,False
2,deg=5 eps=4,0.4622397166372235,0.44222845506511643,0.39013624915922784,True,True,False,False
3,deg=5 eps=5,0.4728632537879679,0.4455375253866586,0.37845253785820165,True,True,False,False
4,deg=5 eps=7,0.4782158010625177,0.4413744046358937,0.41340101159784004,True,True,False,False
5,deg=5 eps=10,0.49257722639361645,0.44957679023469,0.4347680063895105,True,True,False,False
6,deg=5 eps=15,0.5473091830841004,0.45791472361762087,0.30932944477076685,True,True,False,False
7,deg=5 eps=20,0.5703251357673154,0.4379215807748167,0.1920492450992476,True,True,False,False
8,deg=5 eps=30,0.5457987623408431,0.31658244511756983,-0.46533056172212106,True,True,False,False
,model,train,test,cv,drop_outliers,fix_skewness,scale,use_pls
0,linear regression,0.17518659057698405,0.17624067119047915,0.2242188383491519,True,True,False,False
1,deg=5 eps=1,0.43307004515677516,0.41778489403104013,0.40073491704180986,True,True,False,False
2,deg=5 eps=4,0.4622397166372235,0.44222845506511643,0.39013624915922784,True,True,False,False
3,deg=5 eps=5,0.4728632537879679,0.4455375253866586,0.37845253785820165,True,True,False,False
4,deg=5 eps=7,0.4782158010625177,0.4413744046358937,0.41340101159784004,True,True,False,False
5,deg=5 eps=10,0.49257722639361645,0.44957679023469,0.4347680063895105,True,True,False,False
6,deg=5 eps=15,0.5473091830841004,0.45791472361762087,0.30932944477076685,True,True,False,False
7,deg=5 eps=20,0.5703251357673154,0.4379215807748167,0.1920492450992476,True,True,False,False
8,deg=5 eps=30,0.5457987623408431,0.31658244511756983,-0.46533056172212106,True,True,False,False
,model,train,test,cv,drop_outliers,fix_skewness,scale,use_pls
0,linear regression,0.17518659057698405,0.17624067119047915,0.2242188383491519,True,True,False,False
1,deg=5 eps=1,0.43307004515677516,0.41778489403104013,0.40073491704180986,True,True,False,False
2,deg=5 eps=4,0.4622397166372235,0.44222845506511643,0.39013624915922784,True,True,False,False
3,deg=5 eps=5,0.4728632537879679,0.4455375253866586,0.37845253785820165,True,True,False,False
4,deg=5 eps=7,0.4782158010625177,0.4413744046358937,0.41340101159784004,True,True,False,False
5,deg=5 eps=10,0.49257722639361645,0.44957679023469,0.4347680063895105,True,True,False,False
6,deg=5 eps=15,0.5473091830841004,0.45791472361762087,0.30932944477076685,True,True,False,False
7,deg=5 eps=20,0.5703251357673154,0.4379215807748167,0.1920492450992476,True,True,False,False
8,deg=5 eps=30,0.5457987623408431,0.31658244511756983,-0.46533056172212106,True,True,False,False
