,grants,size,packages,alters,commands,commits,time,md
347,25,1352,0,0,336,0,2.669,0
348,55,2142,0,0,531,0,5.213,0
350,21,964,0,0,241,0,4.265,0
351,225,13030,0,0,3245,0,30.652,0
353,22,3037,0,0,759,0,4.916,0
354,24,1357,0,0,331,0,5.019,0
356,8,212,0,0,53,0,4.85,0
361,1387,16668,0,0,4167,0,33.145,0
362,328,12600,0,0,3150,0,32.686,0
365,114,4680,0,0,1170,0,15.035,0
366,40,1492,0,0,373,0,5.586,0
368,61,768,0,0,192,0,5.538,0
369,44,2504,0,0,622,0,6.536,0
372,64,3044,0,0,754,3,6.194,0
373,23,1028,0,0,257,0,2.794,0
460,33,473,1,0,118,0,2.056,0
484,31,501,10,3,118,0,5.441,0
515,14,300,1,0,58,0,5.636,0
545,21,201,2,0,49,0,2.76,0
575,2,24,1,0,6,0,2.495,0
583,31,500,1,2,125,0,5.648,0
688,8,753,9,1,15,0,2.616,0
693,316,9923,32,5,764,2,9.169,0
697,13,442,36,19,92,0,4.303,0
700,0,768,0,0,192,0,4.381,0
704,122,4550,13,11,1070,9,17.287,0
705,110,5447,14,12,1066,9,7.454,0
706,100,4954,12,10,968,5,6.423,0
707,96,3619,6,5,706,5,5.048,0
715,0,2306,27,1,519,6,18.749,0
716,0,2381,27,1,513,6,4.084,0
717,0,2317,27,1,500,4,2.738,0
721,53,41382,301,45,9530,165,224.756,0
722,79,33998,158,26,5311,117,40.38,0
724,34,8743,62,7,1334,34,8.894,0
744,1,87,3,3,11,0,2.357,0
754,0,1528,5,4,151,0,8.495,0
755,0,936,3,2,92,0,4.499,0
774,0,68,3,2,9,0,7.983,0
790,0,157,1,0,32,7,12.47,0
791,0,121,1,0,10,0,2.519,0
793,15,823,15,9,158,0,5.783,0
803,0,67,2,0,10,0,4.162,0
813,14,748,48,24,106,1,3.166,0
818,0,168,3,2,24,0,3.519,0
819,14,714,48,26,106,1,3.118,0
827,20,604,10,6,110,1,2.039,0
832,2,646,16,8,132,4,3.518,0
835,1,48,4,2,7,0,2.576,0
836,30,2747,76,52,386,1,4.652,0
849,13,418,26,13,55,0,2.314,0
865,0,12,1,0,3,0,2.887,0
867,0,368,24,24,83,0,3.576,0
872,0,1301,15,1,193,0,3.478,0
883,155,3773,18,12,853,51,22.954,0
884,73,1670,8,4,269,13,3.306,0
894,4,7431,341,317,438,0,13.734,0
901,0,12,1,1,3,0,2.659,0
907,164,4660,13,7,845,51,10.349,0
908,72,1593,4,0,260,13,2.175,0
915,4,7457,343,319,443,0,12.309,0
928,3,323,4,3,80,0,2.706,0
935,1,28,2,1,5,0,2.548,0
1012,0,70,1,7,9,0,3.021,0
1195,58,850,33,42,122,0,5.647,0
1251,16,352,7,4,64,1,2.2,0
1285,67,845,1,55,197,0,4.124,0
1313,0,131,16,15,16,0,2.111,0
1335,0,1714,15,2,387,0,27.458,0
1346,6,830,58,31,153,0,4.413,0
1394,11,2984,66,58,67,4,3.045,0
1513,1,148,19,14,15,0,9.789,0
1576,3,2379,3,0,521,21,8.662,0
